vin,year,make,model,trim,status,primary_pn,all_pns,expected_pns,matched,duration_s,error
3KPC24A34KE069016,2019,HYUNDAI,Accent,SE and SEL,DEALER_VERIFIED_BY_VIN,95440-J0100,95440-J0100,,unknown,24,
5NPD84LF2KH486138,2019,HYUNDAI,Elantra,"SEL, Value Edition & Limited",DEALER_VERIFIED_BY_VIN,95440-F2002,"95440-F2002, 95440-F3002",,unknown,22,
KMHH55LC1KU106309,2019,HYUNDAI,Elantra GT,Elantra GT N Line,DEALER_VERIFIED_BY_VIN,95440-G3000,95440-G3000,,unknown,87,
KMHC05LHXKU044686,2019,HYUNDAI,Ioniq,Limited (EV),DEALER_VERIFIED_BY_VIN,95440-G2000,"95440-G2000, 95440-G2010",,unknown,41,
KMHC65LCXKU155564,2019,HYUNDAI,Ioniq,Blue (HEV),DEALER_VERIFIED_BY_VIN,95440-G2000,"95440-G2000, 95440-G2010",,unknown,64,
KM8K12AA8KU298121,2019,HYUNDAI,Kona,SE,DEALER_VERIFIED_BY_VIN,95440-J9000,95440-J9000,,unknown,89,
KM8K33AG3KU045776,2019,HYUNDAI,Kona,Limited,DEALER_VERIFIED_BY_VIN,95440-J9000,95440-J9000,,unknown,112,
KM8J84A67KU000737,2019,HYUNDAI,Nexo,NEXO Limited,DEALER_VERIFIED_BY_VIN,95440-M5000,"95440-M5000, 95440-M5300",,unknown,113,
5NMS33AD1KH042022,2019,HYUNDAI,Santa Fe,"SEL, SEL Plus",DEALER_VERIFIED_BY_VIN,95440-B8100,"95440-B8100, 95440-S2000",,unknown,144,
KM8SN4HF0KU305564,2019,HYUNDAI,Santa Fe XL,SE Premium pkg,DEALER_VERIFIED_BY_VIN,95440-B8100,95440-B8100,,unknown,135,
5NPE24AF6KH745769,2019,HYUNDAI,Sonata,"Eco Turbo, SE",DEALER_VERIFIED_BY_VIN,95430-C1210,"95430-C1210, 95440-C2500",,unknown,157,
KM8J23A40KU952991,2019,HYUNDAI,Tucson,SE,DEALER_VERIFIED_BY_VIN,95440-D3510,95440-D3510,,unknown,180,
KMHTH6AB0KU006073,2019,HYUNDAI,Veloster,"Turbo R-Spec, Turbo and Turbo Ultimate",DEALER_VERIFIED_BY_VIN,95440-J3000,95440-J3000,,unknown,196,
KMHT36AHXKU002907,2019,HYUNDAI,Veloster N,,DEALER_VERIFIED_BY_VIN,95440-K9000,95440-K9000,,unknown,204,
KMHH55LCXLU137852,2020,HYUNDAI,Elantra GT,Elantra GT N Line,DEALER_VERIFIED_BY_VIN,95440-G3000,95440-G3000,,unknown,214,
KMHC75LD8LU225201,2020,HYUNDAI,Ioniq,SEL,DEALER_VERIFIED_BY_VIN,95440-G2500,95440-G2500,,unknown,254,
KM8J84A68LU007990,2020,HYUNDAI,Nexo,Limited,DEALER_VERIFIED_BY_VIN,95440-M5000,"95440-M5000, 95440-M5300",,unknown,236,
KM8R3DHE7LU102605,2020,HYUNDAI,Palisade,SEL w/ Convenience Pkg,DEALER_VERIFIED_BY_VIN,95430-S8400,"95430-S8400, 95430-S8500, 95440-S8010, 95440-S8310",,unknown,257,
KMHRB8A36LU036714,2020,HYUNDAI,Venue,SE,DEALER_VERIFIED_BY_VIN,95430-K2500,"95430-K2500, 95440-K2200, 95440-K2400",,unknown,276,
3KPC24A60ME133338,2021,HYUNDAI,Accent,SE & SEL,DEALER_VERIFIED_BY_VIN,95440-J0100,95440-J0100,,unknown,278,
KMHCX5LD7MU251905,2021,HYUNDAI,Ioniq,Limited,DEALER_VERIFIED_BY_VIN,95440-G2500,95440-G2500,,unknown,306,
KM8J84A60MU017317,2021,HYUNDAI,Nexo,Limited,DEALER_VERIFIED_BY_VIN,95440-M5000,"95440-M5000, 95440-M5300",,unknown,299,
3KPC24A60NE156720,2022,HYUNDAI,Accent,"SE, SEL",DEALER_VERIFIED_BY_VIN,95440-J0100,95440-J0100,,unknown,317,
KM8KNDAF5NU055754,2022,HYUNDAI,Ioniq 5,SEL,DEALER_VERIFIED_BY_VIN,95440-GI010,"95440-GI010, 95440-GI020, 95440-GI050",,unknown,329,
KMHC65LC5NU277690,2022,HYUNDAI,Ioniq,Blue,DEALER_VERIFIED_BY_VIN,95440-G2500,95440-G2500,,unknown,342,
KMHCX5LD3NU281694,2022,HYUNDAI,Ioniq,Limited,DEALER_VERIFIED_BY_VIN,95440-G2500,95440-G2500,,unknown,345,
KM8KH3AC3NU004745,2022,HYUNDAI,Kona N,,DEALER_VERIFIED_BY_VIN,95440-J9450,95440-J9450,,unknown,410,
KM8J74A63NU021530,2022,HYUNDAI,Nexo,Blue,DEALER_VERIFIED_BY_VIN,95440-M5000,95440-M5000,,unknown,538,
5NTJA4AE2NH010110,2022,HYUNDAI,Santa Cruz,,DEALER_VERIFIED_BY_VIN,95440-K5000,"95440-K5000, 95440-K5002, 95440-K5010, 95440-K5012",,unknown,435,
KM8S3DA13NU020043,2022,HYUNDAI,Santa Fe,SEL Premium,DEALER_VERIFIED_BY_VIN,95440-S1530,"95440-S1530, 95440-S1560",,unknown,459,
KM8S7DA22NU050079,2022,HYUNDAI,Santa Fe,Limited,DEALER_VERIFIED_BY_VIN,95440-S1530,"95440-S1530, 95440-S1560",,unknown,483,
KM8JFCA17NU057917,2022,HYUNDAI,Tucson,SEL Convenience,DEALER_VERIFIED_BY_VIN,95440-N9002,"95440-N9002, 95440-N9050, 95440-N9052, 95440-N9070, 95440-N9072, 95440-N9080, 95440-N9082",,unknown,506,
KM8JFDA20NU037488,2022,HYUNDAI,Tucson,Limited,DEALER_VERIFIED_BY_VIN,95440-N9002,"95440-N9002, 95440-N9050, 95440-N9052, 95440-N9070, 95440-N9072, 95440-N9080, 95440-N9082",,unknown,531,
KMHT36AH4NU013888,2022,HYUNDAI,Veloster N,,DEALER_VERIFIED_BY_VIN,95440-K9000,95440-K9000,,unknown,554,
KMHLW4AK5PU011867,2023,HYUNDAI,Elantra N,,DEALER_VERIFIED_BY_VIN,95440-AA000,"95440-AA000, 95440-AA100, 954133A000-AS, 81900-AAJ00, 81905-AA070, 81905-AA110, 81970-AAA00, 81994-Q5000, 81996-J3001, 95425-AA500, 95430-AA100",,unknown,626,
KMHM34AA1PA049084,2023,HYUNDAI,Ioniq 6,SEL,DEALER_VERIFIED_BY_VIN,95440-KL000,"95440-KL000, 95440-KL200",,unknown,644,
KM8K6CABXPU051626,2023,HYUNDAI,Kona,SEL,DEALER_VERIFIED_BY_VIN,95440-J9400,"95440-J9400, 95440-J9450",,unknown,652,
KM8J84A61PU031375,2023,HYUNDAI,Nexo,Limited,DEALER_VERIFIED_BY_VIN,95440-M5020,"95440-M5020, 95440-M5320",,unknown,667,
KM8JFCA13PU090965,2023,HYUNDAI,Tucson,SEL Convenience,DEALER_VERIFIED_BY_VIN,95440-N9002,"95440-N9002, 95440-N9052, 95440-N9072, 95440-N9082",,unknown,676,
KMHRC8A35PU265002,2023,HYUNDAI,Venue,"SEL, Limited",DEALER_VERIFIED_BY_VIN,95440-K2200,"95440-K2200, 95440-K2410",,unknown,684,
KMHLN4DJ7RU106374,2024,HYUNDAI,Elantra,Limited,DEALER_VERIFIED_BY_VIN,95440-AA500,95440-AA500,,unknown,698,
KM8KN4DE6RU248892,2024,HYUNDAI,Ioniq 5,SEL,DEALER_VERIFIED_BY_VIN,95440-GI010,"95440-GI010, 95440-GI020, 95440-GI050",,unknown,709,
KMHM34AA8RA054401,2024,HYUNDAI,Ioniq 6,SEL,DEALER_VERIFIED_BY_VIN,95440-KL000,"95440-KL000, 95440-KL200",,unknown,717,
KM8HB3AB9RU096176,2024,HYUNDAI,Kona,SE,DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-BF200",,unknown,728,
KM8HE3A61RU011566,2024,HYUNDAI,Kona,Limited,DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-BF200",,unknown,741,
KM8R2DGE4RU696986,2024,HYUNDAI,Palisade,SEL,DEALER_VERIFIED_BY_VIN,95440-S8520,"95440-S8520, 95440-S8540, 95440-S8550, 95440-S8600",,unknown,752,
KMHL54JJ8RA088618,2024,HYUNDAI,Sonata,Limited,DEALER_VERIFIED_BY_VIN,95440-L1710,"95440-L1710, 95440-L1760, 95440-L1770",,unknown,764,
5NMJB3DE2RH392174,2024,HYUNDAI,Tucson,SEL,DEALER_VERIFIED_BY_VIN,95440-N9002,"95440-N9002, 95440-N9052, 95440-N9072, 95440-N9082",,unknown,775,
KM8JFDD29RU151586,2024,HYUNDAI,Tucson,Limited,DEALER_VERIFIED_BY_VIN,95440-N9002,"95440-N9002, 95440-N9052, 95440-N9072, 95440-N9082",,unknown,788,
KMHRC8A39RU320750,2024,HYUNDAI,Venue,SEL / Limited,DEALER_VERIFIED_BY_VIN,95440-K2200,"95440-K2200, 95440-K2410, 95440-K2450",,unknown,801,
KM8KNDA84SU008552,2025,HYUNDAI,Ioniq 5 N,,DEALER_VERIFIED_BY_VIN,95440-NI000,"95440-NI000, 95440-NI001, 95440-NI011",,unknown,808,
KMHM24AC7SA117045,2025,HYUNDAI,Ioniq 6,SE,DEALER_VERIFIED_BY_VIN,95440-KL000,"95440-KL000, 95440-KL200",,unknown,823,
KMHL34JJ5SA103104,2025,HYUNDAI,Sonata,SEL,DEALER_VERIFIED_BY_VIN,95440-L1710,"95440-L1710, 95440-L1760, 95440-L1770, 95440-L5750",,unknown,833,
KMHRC8A32SU385588,2025,HYUNDAI,Venue,"SEL, Limited",DEALER_VERIFIED_BY_VIN,95440-K2400,"95440-K2400, 95440-K2450",,unknown,845,
7YAMUFS31TY002208,2026,HYUNDAI,Ioniq 9,SEL,DEALER_VERIFIED_BY_VIN,95440-GO000,95440-GO000,,unknown,856,
KMHL24JJXTA140475,2026,HYUNDAI,Sonata,Blue,DEALER_VERIFIED_BY_VIN,95440-3Q000,"95440-3Q000, 95440-BE060, 95440-C2500",,unknown,942,
KMHRC8A39TU428213,2026,HYUNDAI,Venue,"SEL, SEL w/ 2-Tone Roof",DEALER_VERIFIED_BY_VIN,95440-GI120,"95440-GI120, 95440-K2450",,unknown,961,
