vin,label
5NMP24GL5SH097926,2025 Santa Fe SEL FWD
5NMP5DGL3SH095180,2025 Santa Fe Calligraphy AWD
5NMP34G13TH098652,2026 Santa Fe Hybrid Limited FWD
5NMJBCDE1TH621600,2026 Tucson SEL AWD
5NMJB3DE8SH585256,2025 Tucson SEL FWD
KM8JCDD13SU349893,2025 Tucson Hybrid SEL Convenience AWD
KM8JEDD10TU402853,2026 Tucson Hybrid Limited AWD
KM8JBDD23TU411371,2026 Tucson Hybrid Plug-In SEL AWD
KM8RJES21TU031654,2026 Palisade XRT Pro AWD
KM8RJES25TU021225,2026 Palisade XRT Pro AWD
5NTJC4DE6TH166895,2026 Santa Cruz SEL Activity FWD
5NTJEDDF5TH165966,2026 Santa Cruz AWD
5NTJA4DE6SH149812,2025 Santa Cruz FWD
5NTJEDDF2SH152719,2025 Santa Cruz AWD
KMHLS4DG3SU986718,2025 Elantra SEL Convenience FWD
KMHLP4DG1SU933744,2025 Elantra Limited FWD
KMHLM4DGXTU098379,2026 Elantra FWD
KMHL64JA6SA505530,2025 Sonata SEL FWD
KMHL24JA8TA526926,2026 Sonata SE FWD
KMHL64JA1TA540039,2026 Sonata SEL Sport FWD
KMHL34JJ6SA127234,2025 Sonata Hybrid SEL FWD
KMHL24JJ9TA137566,2026 Sonata Hybrid Blue FWD
KM8HB3ABXSU289085,2025 Kona SEL FWD
KM8HE3A3XSU201880,2025 Kona Limited FWD
KM8HF3AB8TU358605,2026 Kona FWD
KM8HE3A63SU024504,2025 Kona Electric Limited FWD
7YAKN4DA1TY055317,2026 Ioniq 5 SEL RWD
7YAKNDDC5TY047500,2026 Ioniq 5 SEL AWD
KMHM54AC7SA084667,2025 Ioniq 6 Limited AWD
KMHM24AA7SA103788,2025 Ioniq 6 SE RWD
