vin,year,make,model,trim,status,primary_pn,all_pns,expected_pns,matched,duration_s,error
5NMP24GL5SH097926,2025,HYUNDAI,Santa Fe,SEL,DEALER_VERIFIED_BY_VIN,95440-P6040,"95440-P6040, 95440-P6050, 95440-P6100",,unknown,57,
5NMP5DGL3SH095180,2025,HYUNDAI,Santa Fe,Calligraphy,DEALER_VERIFIED_BY_VIN,95440-P6040,"95440-P6040, 95440-P6050, 95440-P6100",,unknown,25,
5NMP34G13TH098652,2026,HYUNDAI,Santa Fe,Limited,DEALER_VERIFIED_BY_VIN,95440-P6040,"95440-P6040, 95440-P6050, 95440-P6100",,unknown,47,
5NMJBCDE1TH621600,2026,HYUNDAI,Tucson,"SEL, SEL Plus",DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-BF200, 95440-N9550, 95440-N9570",,unknown,153,
5NMJB3DE8SH585256,2025,HYUNDAI,Tucson,SEL,DEALER_VERIFIED_BY_VIN,95440-N9550,"95440-N9550, 95440-N9570, 95440-N9580",,unknown,81,
KM8JCDD13SU349893,2025,HYUNDAI,Tucson,SEL Convenience,DEALER_VERIFIED_BY_VIN,95440-N9550,"95440-N9550, 95440-N9570, 95440-N9580",,unknown,106,
KM8JEDD10TU402853,2026,HYUNDAI,Tucson,"Limited, Night",DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-BF200, 95440-N9550, 95440-N9570",,unknown,209,
KM8JBDD23TU411371,2026,HYUNDAI,Tucson,SEL,DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-BF200, 95440-N9550, 95440-N9570",,unknown,283,
KM8RJES21TU031654,2026,HYUNDAI,Palisade,XRT Pro,DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-P6100, 95440-S8550, 95440-S8600",,unknown,342,
KM8RJES25TU021225,2026,HYUNDAI,Palisade,XRT Pro,DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-P6100, 95440-S8550, 95440-S8600",,unknown,376,
5NTJC4DE6TH166895,2026,HYUNDAI,Santa Cruz,SEL Activity,DEALER_VERIFIED_BY_VIN,95440-K5500,95440-K5500,,unknown,364,
5NTJEDDF5TH165966,2026,HYUNDAI,Santa Cruz,Limited,DEALER_VERIFIED_BY_VIN,95440-K5500,95440-K5500,,unknown,386,
5NTJA4DE6SH149812,2025,HYUNDAI,Santa Cruz,SE,DEALER_VERIFIED_BY_VIN,95440-K5500,95440-K5500,,unknown,400,
5NTJEDDF2SH152719,2025,HYUNDAI,Santa Cruz,Limited,DEALER_VERIFIED_BY_VIN,95440-K5500,95440-K5500,,unknown,411,
KMHLS4DG3SU986718,2025,HYUNDAI,Elantra,SEL Convenience,DEALER_VERIFIED_BY_VIN,95440-AA500,"95440-AA500, 95440-AA501",,unknown,420,
KMHLP4DG1SU933744,2025,HYUNDAI,Elantra,Limited,DEALER_VERIFIED_BY_VIN,95440-AA500,"95440-AA500, 95440-AA501",,unknown,433,
KMHLM4DGXTU098379,2026,HYUNDAI,Elantra,"SEL Sport, SEL Sport Plus",DEALER_VERIFIED_BY_VIN,95440-AA501,"95440-AA501, 95440-BE060, 95440-IB600YPN, 95440-P6050, 95440-T6AA0",,unknown,515,
