vin,year,make,model,trim,status,primary_pn,all_pns,expected_pns,matched,duration_s,error
3KPF54AD8RE730960,2024,KIA,Forte,GT Line,DEALER_VERIFIED_BY_VIN,95440-M7200,"95440-M7200, 95440-M7300",,unknown,24,
5XXG64J26RG239648,2024,KIA,K5,GT-Line,DEALER_VERIFIED_BY_VIN,95440-L3430,95440-L3430,,unknown,20,
KNDJ23AU9R7897910,2024,KIA,Soul,"LX, S",DEALER_VERIFIED_BY_VIN,95430-K0120,"95430-K0120, 95440-K0320, 95440-K0510",,unknown,81,
KNDEUCA7XR7482097,2024,KIA,Seltos,"S, X-Line",DEALER_VERIFIED_BY_VIN,95440-Q5700,"95440-Q5700, 95440-Q5710",,unknown,48,
KNDPU3DF6R7302965,2024,KIA,Sportage,LX,DEALER_VERIFIED_BY_VIN,95440-P1100,"95440-P1100, 95440-P1400",,unknown,72,
KNDPUCDG4R7127155,2024,KIA,Sportage,LX,DEALER_VERIFIED_BY_VIN,95440-P1100,"95440-P1100, 95440-P1400",,unknown,97,
KNDPZDDH4R7172807,2024,KIA,Sportage,X-Line Prestige,DEALER_VERIFIED_BY_VIN,95440-P1100,"95440-P1100, 95440-P1200, 95440-P1400",,unknown,107,
5XYRLDJC4RG261976,2024,KIA,Sorento,S,DEALER_VERIFIED_BY_VIN,95440-P2AA0,"95440-P2AA0, 95440-P2AB0, 95440-P2AK0",,unknown,121,
KNDRKDLG5R5247063,2024,KIA,Sorento,SX-P,DEALER_VERIFIED_BY_VIN,95440-P2010,"95440-P2010, 95440-P2AA0, 95440-P2AB0, 95440-P2AK0, 95440-R5010",,unknown,204,
KNDRMDLH0R5247250,2024,KIA,Sorento,SX-P,DEALER_VERIFIED_BY_VIN,95440-P2AA0,"95440-P2AA0, 95440-P2AB0, 95440-P2AK0",,unknown,188,
5XYP2DGC3RG441435,2024,KIA,Telluride,LX,DEALER_VERIFIED_BY_VIN,95440-S9510,"95440-S9510, 95440-S9530, 95440-S9540, 95440-S9630",,unknown,215,
KNDNC5H37R6396169,2024,KIA,Carnival,EX,DEALER_VERIFIED_BY_VIN,95440-R0410,"95440-R0410, 95440-R0420",,unknown,231,
KNDCT3LE8R5130346,2024,KIA,Niro,SX & SX Touring,DEALER_VERIFIED_BY_VIN,95440-AT000,"95440-AT000, 95440-AT010, 95440-AT110",,unknown,241,
KNDCR3LF0R5166264,2024,KIA,Niro,SX Touring,DEALER_VERIFIED_BY_VIN,95440-AT000,"95440-AT000, 95440-AT010, 95440-AT110",,unknown,259,
KNDCR3L13R5092679,2024,KIA,Niro,Wind,DEALER_VERIFIED_BY_VIN,95440-AT000,"95440-AT000, 95440-AT010, 95440-AT110",,unknown,267,
