vin,year,make,model,trim,status,primary_pn,all_pns,expected_pns,matched,duration_s,error
4T1DAACK2TU230505,2026,TOYOTA,Camry,,DEALER_VERIFIED_BY_VIN,89070-04020,"89070-04020, 89070-06791, 89070-0KB41, 89070-0KG40, 89070-0R380",,unknown,81,
4T1DAACK0SU133155,2025,TOYOTA,Camry,,DEALER_VERIFIED_BY_VIN,89070-0R380,"89070-0R380, 89070-33E91",,unknown,84,
5YFT4MCE3TP267837,2026,TOYOTA,Corolla,XSE,DEALER_VERIFIED_BY_VIN,89070-02620,"89070-02620, 89070-02882, 89070-02E00, 89070-06791, 89070-0R380",,unknown,144,
3TMLB5JN2SM095126,2025,TOYOTA,Tacoma,,DEALER_VERIFIED_BY_VIN,8990H-A1011,"8990H-A1011, 8990H-AK011, 8990H-AK021",,unknown,109,
3TYJDAHN7ST018451,2025,TOYOTA,Tacoma,,DEALER_VERIFIED_BY_VIN,8990H-A1011,"8990H-A1011, 8990H-AK011, 8990H-AK021",,unknown,134,
2T36CRAVXTW044037,2026,TOYOTA,RAV4,,DEALER_VERIFIED_BY_VIN,89070-06791,"89070-06791, 89070-0R300, 89070-0R380, 89070-42G70",,unknown,219,
2T36DRBV4TC002346,2026,TOYOTA,RAV4,,DEALER_VERIFIED_BY_VIN,89070-06791,"89070-06791, 89070-0KG40, 89070-0R300, 89070-0R380, 89070-42G70",,unknown,208,
5TDKDRBH3TS600727,2026,TOYOTA,Highlander,"LE, XLE, XSE, Platinum, Limited",DEALER_VERIFIED_BY_VIN,89070-06791,"89070-06791, 89070-0KC90, 89070-0R120, 89070-0R380, 89070-33E91",,unknown,274,
5TDAAAB51TS110525,2026,TOYOTA,Grand Highlander,,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,320,
5TDADAB58TS026435,2026,TOYOTA,Grand Highlander,,DEALER_VERIFIED_BY_VIN,89070-02E00,"89070-02E00, 89070-06791, 89070-0R121, 89070-0R380, 89070-60B61",,unknown,323,
5TDZRKEC8TS306831,2026,TOYOTA,Sienna,Limited,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,394,
JTEVA5BR3T5091876,2026,TOYOTA,4Runner,,DEALER_VERIFIED_BY_VIN,89070-0K681,"89070-0K681, 89070-0KB41, 89070-0KJ10, 89070-0R221, 89070-0R380",,unknown,409,
JTEVA5AR3T5011526,2026,TOYOTA,4Runner,,DEALER_VERIFIED_BY_VIN,89070-0K681,"89070-0K681, 89070-0KB41, 89070-0KJ10, 89070-0R221, 89070-0R380",,unknown,463,
JTDACAAU5T3070874,2026,TOYOTA,Prius,,DEALER_VERIFIED_BY_VIN,89070-06791,"89070-06791, 89070-0KG40, 89070-0R380, 89070-12590, 89070-33E91",,unknown,479,
JTDACAAU6S3054391,2025,TOYOTA,Prius,,DEALER_VERIFIED_BY_VIN,89070-0R380,"89070-0R380, 89070-33E91, 89070-42G00, 89070-42G70",,unknown,562,
JTEABFAJ3TK050436,2026,TOYOTA,Land Cruiser,,DEALER_VERIFIED_BY_VIN,89070-06791,"89070-06791, 89070-0R231, 89070-0R380, 89070-60090, 89070-60750",,unknown,563,
7MUAAABG3TV162973,2026,TOYOTA,Corolla Cross,L,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,638,
7MUAAAAGXTV170327,2026,TOYOTA,Corolla Cross,L,DEALER_VERIFIED_BY_VIN,89070-02880,"89070-02880, 89070-02E00, 89070-06791, 89070-0KC90, 89070-0R380",,unknown,630,
5TFLA5DB1TX342877,2026,TOYOTA,Tundra,SR5,DEALER_VERIFIED_BY_VIN,89070-06791,"89070-06791, 89070-0C050, 89070-0K681, 89070-0KB41, 89070-0R380",,unknown,709,
7SVAAAAA4TX004844,2026,TOYOTA,Sequoia,,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,710,
7SVAAABA7TX075020,2026,TOYOTA,Sequoia,,DEALER_VERIFIED_BY_VIN,89070-0R380,89070-0R380,,unknown,778,
JTDAAAAF9T3042017,2026,TOYOTA,Crown,,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,785,
JTDAAAAF8T3043286,2026,TOYOTA,Crown,,DEALER_VERIFIED_BY_VIN,89070-06791,"89070-06791, 89070-0KC90, 89070-0R300, 89070-0R380, 89070-33E91",,unknown,838,
JTDACAAJ9T3040217,2026,TOYOTA,Crown Signia,,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,854,
JTDACAAJ5S3026443,2025,TOYOTA,Crown Signia,,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,921,
JTNABAAE4TA024584,2026,TOYOTA,GR Corolla,,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,937,
JTNABAAE3SA021366,2025,TOYOTA,GR Corolla,,DEALER_VERIFIED_BY_VIN,8990H-12461,8990H-12461,,unknown,943,
JTMBDAFB4TJ013439,2026,TOYOTA,bZ,,DEALER_VERIFIED_BY_VIN,89070-0R380,"89070-0R380, 89070-BZ481",,unknown,1018,
JTMAAAAAXSA058029,2025,TOYOTA,bZ4X,,DEALER_VERIFIED_BY_VIN,89070-06791,"89070-06791, 89070-0KG70, 89070-0R120, 89070-0R380, 89070-33E91",,unknown,1030,
JTMABACA1SA092483,2025,TOYOTA,bZ4X,,DEALER_VERIFIED_BY_VIN,89070-0R120,"89070-0R120, 89070-33E91",,unknown,1096,
