vin,year,make,model,trim,status,primary_pn,all_pns,expected_pns,matched,duration_s,error
5NMP24GL5SH097926,2025,HYUNDAI,Santa Fe,SEL,DEALER_VERIFIED_BY_VIN,95440-P6050,95440-P6050,,unknown,236,
5NMP5DGL3SH095180,2025,HYUNDAI,Santa Fe,Calligraphy,DEALER_VERIFIED_BY_VIN,95440-P6040,"95440-P6040, 95440-P6050, 95440-P6100",,unknown,70,
5NMP34G13TH098652,2026,HYUNDAI,Santa Fe,Limited,DEALER_VERIFIED_BY_VIN,95440-P6040,"95440-P6040, 95440-P6050, 95440-P6100",,unknown,146,
5NMJBCDE1TH621600,2026,HYUNDAI,Tucson,"SEL, SEL Plus",NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,338,
5NMJB3DE8SH585256,2025,HYUNDAI,Tucson,SEL,DEALER_VERIFIED_BY_VIN,95440-N9550,"95440-N9550, 95440-N9570, 95440-N9580",,unknown,373,
KM8JCDD13SU349893,2025,HYUNDAI,Tucson,SEL Convenience,DEALER_VERIFIED_BY_VIN,95440-N9550,"95440-N9550, 95440-N9570, 95440-N9580",,unknown,400,
KM8JEDD10TU402853,2026,HYUNDAI,Tucson,"Limited, Night",NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,641,
KM8JBDD23TU411371,2026,HYUNDAI,Tucson,SEL,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,574,
KM8RJES21TU031654,2026,HYUNDAI,Palisade,XRT Pro,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,717,
KM8RJES25TU021225,2026,HYUNDAI,Palisade,XRT Pro,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,745,
5NTJC4DE6TH166895,2026,HYUNDAI,Santa Cruz,SEL Activity,DEALER_VERIFIED_BY_VIN,95440-K5500,95440-K5500,,unknown,793,
5NTJEDDF5TH165966,2026,HYUNDAI,Santa Cruz,Limited,DEALER_VERIFIED_BY_VIN,95440-K5500,95440-K5500,,unknown,762,
5NTJA4DE6SH149812,2025,HYUNDAI,Santa Cruz,SE,DEALER_VERIFIED_BY_VIN,95440-K5500,95440-K5500,,unknown,784,
5NTJEDDF2SH152719,2025,HYUNDAI,Santa Cruz,Limited,DEALER_VERIFIED_BY_VIN,95440-K5500,95440-K5500,,unknown,840,
KMHLS4DG3SU986718,2025,HYUNDAI,Elantra,SEL Convenience,DEALER_VERIFIED_BY_VIN,95440-AA500,"95440-AA500, 95440-AA501",,unknown,820,
KMHLP4DG1SU933744,2025,HYUNDAI,Elantra,Limited,DEALER_VERIFIED_BY_VIN,95440-AA500,"95440-AA500, 95440-AA501",,unknown,852,
KMHLM4DGXTU098379,2026,HYUNDAI,Elantra,"SEL Sport, SEL Sport Plus",NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1032,
KMHL64JA6SA505530,2025,HYUNDAI,Sonata,SEL,DEALER_VERIFIED_BY_VIN,95440-L1710,"95440-L1710, 95440-L1760, 95440-L1770",,unknown,887,
KMHL24JA8TA526926,2026,HYUNDAI,Sonata,SE,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1057,
KMHL64JA1TA540039,2026,HYUNDAI,Sonata,SEL Sport,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1155,
KMHL34JJ6SA127234,2025,HYUNDAI,Sonata,SEL,DEALER_VERIFIED_BY_VIN,95440-L1710,"95440-L1710, 95440-L1760, 95440-L1770, 95440-L5750",,unknown,1084,
KMHL24JJ9TA137566,2026,HYUNDAI,Sonata,Blue,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1212,
KM8HB3ABXSU289085,2025,HYUNDAI,Kona,"SEL, N Line S",DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-BE560, 95440-BE700, 95440-BF200",,unknown,1210,
KM8HE3A3XSU201880,2025,HYUNDAI,Kona,Limited,DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-BE560, 95440-BE700, 95440-BF200",,unknown,1274,
KM8HF3AB8TU358605,2026,HYUNDAI,Kona,SEL Sport,DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-BF100, 95440-BF200",,unknown,1274,
KM8HE3A63SU024504,2025,HYUNDAI,Kona,Limited,DEALER_VERIFIED_BY_VIN,95440-BE060,"95440-BE060, 95440-BF200",,unknown,1299,
7YAKN4DA1TY055317,2026,HYUNDAI,Ioniq 5,SEL,DEALER_VERIFIED_BY_VIN,95440-GI120,95440-GI120,,unknown,1335,
7YAKNDDC5TY047500,2026,HYUNDAI,Ioniq 5,SEL,DEALER_VERIFIED_BY_VIN,95440-GI120,95440-GI120,,unknown,1322,
