VIN,"Instructions (build card using nhtsa including other info to select car trim, engine, etc when VIN search prompts variations ",PN 1,PN 2,PN 3 ,PN 4,PN 5,PN 6,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6
5XYK6CDF8TG390982,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""fob smart key""",95440-P1AB0,95440-P1AL0,,,,,https://kia.oempartsonline.com/oem-parts/kia-fob-smart-key-95440p1ab0,https://kia.oempartsonline.com/oem-parts/kia-fob-smart-key-95440p1al0,,,,
5XYP5DHC5NG256061,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""transmitter"" and ""keyless entry transmitter""",95440-S9200,95440-S9000,,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440s9000,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440s9200,,,,
5XYPHDA52JG374761,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""keyless entry transmitter""",95440-C6000,95430-C5100,,,,,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440c6000,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430c5100,,,,
5XYPG4A37GG083523,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- confirm the car trim ""LX 2.4L L4 - Gas""
4- from categories: go to ""electrical"", then ""keyless entry components""
5- the keys are listed as ""keyless entry transmitter""",95440-C6000,95430-C5100,,,,,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440c6000,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430c5100,,,,
5XYK23DF8SG327665 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""keyless entry transmitter"" and ""transmitter""",95440-P1100,95440-P1400,95440-P1110,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440p1110,"

https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440p1100 ",https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440p1400,,,
KNDJ23AU3R7233490 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- confirm the car trim ""LX 2.0L L4 - Gas""
4- from categories: go to ""electrical"", then ""keyless entry components""
5- the keys are listed as ""transmitter""",95430-K0120,95440-K0320,95440-K0510,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95430k0120 ,"
https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440k0510 ",https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440k0320 ,,,
KNDCR3L18P5023113 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""keyless entry transmitter"" and ""transmitter""",95440-AT010,95440-AT000,95440-AT110,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440at110 ,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440at000 ,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440at010 ,,,
5XYRGDLC9MG015516 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""transmitter""",95430-R5100,95440-R5000,95440-P2000,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95430r5100 ,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440p2000 ,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440r5000 ,,,
KNDMC5C11M6666376 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""transmitter/tranciever"" and ""keyless entry transmitter"" ",95430-A9360,95430-A9150,95430-A9350,95440-A9300,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440a9300 ,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430a9150 ,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430a9350 ,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430a9360 ,,
KNDJ23AUXL7023766 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- confirm car trim ""X-Line 2.0L L4 - Gas""
4- from categories: go to ""electrical"", then ""keyless entry components""
5- the keys are listed as ""transmitter"" and ""keyless entry transmitter"" ",95440-K0010,95430-K0000,,,,,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440k0010,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95430k0000 ,,,,
5XYPG4A53LG668076 ,"1- go to https://kia.oempartsonline.com/ 
2- insert VIN number
3- confirm car trim ""X-Line 2.0L L4 - Gas""
4- from categories: go to ""electrical"", then ""keyless entry components""
5- the keys are listed as ""transmitter"""" and ""keyless entry transmitter""",95440-C6000,95430-C5100,95440-C6100,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440c6100 ,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430c5100,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440c6000 ,,,
5XYPG4A55KG591516 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""keyless entry transmitter"" and ""transmitter""",95440-C6000,95430-C5100,95440-C6100,,,,https://kia.oempartsonline.com/oem-parts/kia-transmitter-95440c6100 ,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430c5100,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440c6000 ,,,
3KPF54AD9KE084396 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""remote control""",95430-M6000,95440-M7001,,,,,https://kia.oempartsonline.com/oem-parts/kia-remote-control-95440m7001,https://kia.oempartsonline.com/oem-parts/kia-remote-control-95430m6000,,,,
3KPFL4A76JE217789 ,"1- go to https://kia.oempartsonline.com/ 
2- insert VIN number
3- confirm car trim ""S 2.0L L4 - Gas""
4- from categories: go to ""electrical"", then ""keyless entry components""
5- the keys are listed as ""Keyless lock pad"" and ""keyless entry transmitter""",95430-A7200,95440-A7600,,,,,https://kia.oempartsonline.com/oem-parts/kia-keyless-lock-pad-95440a7600,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430a7200,,,,
5XYPGDA3XHG298878 ,"1- go to https://kia.oempartsonline.com/
2- insert VIN number
3- from categories: go to ""electrical"", then ""keyless entry components""
4- the keys are listed as ""keyless entry transmitter""",95440-C6000,95430-C5100,,,,,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440c6000,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430c5100,,,,
5XYPKDA56HG313750 ,"1- go to https://kia.oempartsonline.com/ 
2- insert VIN number
3- confirm car trim ""SX 3.3L V6 - Gas""
4- from categories: go to ""electrical"", then ""keyless entry components""
5- the keys are listed as ""keyless entry transmitter""",95430-C5100,95440-C6000,,,,,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95440c6000,https://kia.oempartsonline.com/oem-parts/kia-keyless-entry-transmitter-95430c5100,,,,
