vin,label
KMHLM4DG3TU122912,2026 Hyundai Elantra (Task #45 — Canadian probe)
KMHLS4DG5TU123100,2026 Hyundai Elantra SEL Sport Premium
KM8R3DHC5S9944570,2025 Hyundai Palisade XRT
KM8R5DHC3SU081016,2025 Hyundai Palisade Limited
KM8JB3A20SU730675,2025 Hyundai Tucson SEL
5NPEG4JA2S7198656,2025 Hyundai Sonata SE
5NPEL4JA2S5390229,2025 Hyundai Sonata SEL
5NMP34GL2SV743941,2025 Hyundai Santa Fe XRT
KMHLS4DG8SM199473,2025 Hyundai Elantra SEL Convenience
5XYK33AF7SP053232,2025 Kia Sportage EX
5XYK6CDFXSH536579,2025 Kia Sportage X-LINE
5XYRH4LF5SJ108945,2025 Kia Sorento EX/X-Line EX
5XYRG4LC6SP038989,2025 Kia Sorento LX
KNDJ33AU7SH761238,2025 Kia Soul EX
KMTG54TE3S6662333,2025 Genesis G70 3.3T Sport
KMTG34LE5SC381738,2025 Genesis G70
