vin,year,make,model,trim,status,primary_pn,all_pns,expected_pns,matched,duration_s,error
5XYK6CDF8TG390982,2026,KIA,Sportage,X-LINE,DEALER_VERIFIED_BY_VIN,95440-P1AB0,"95440-P1AB0, 95440-P1AL0",,unknown,24,
5XYP5DHC5NG256061,2022,KIA,Telluride,SX,DEALER_VERIFIED_BY_VIN,95440-S9000,"95440-S9000, 95440-S9200",,unknown,25,
5XYPHDA52JG374761,2018,KIA,Sorento,EX,DEALER_VERIFIED_BY_VIN,95430-C5100,"95430-C5100, 95440-C6000",,unknown,27,
5XYPG4A37GG083523,2016,KIA,Sorento,L / LX,DEALER_VERIFIED_BY_VIN,95430-C5100,"95430-C5100, 95440-C6000",,unknown,64,
KNDJ23AU3R7233490,2024,KIA,Soul,"LX, S",DEALER_VERIFIED_BY_VIN,95430-K0120,"95430-K0120, 95440-K0320, 95440-K0510",,unknown,52,
5NPD84LFXHH074817,2017,HYUNDAI,Elantra,"SE Popular Pkg, SE Tech pkg, Limited",DEALER_VERIFIED_BY_VIN,95430-F2300-RDC,"95430-F2300-RDC, 95440-F2000, 95440-F3000",,unknown,49,
5NMJB3AEXR4663672,2024,HYUNDAI,Tucson,SEL,DEALER_VERIFIED_BY_VIN,95440-N9002,"95440-N9002, 95440-N9052, 95440-N9072, 95440-N9082",,unknown,74,
KNDJ33AU9S0357758,2025,KIA,Soul,EX,DEALER_VERIFIED_BY_VIN,95430-K0120,"95430-K0120, 95440-K0320, 95440-K0510",,unknown,76,
KNDJ33AU7SH761238,2025,KIA,Soul,EX,DEALER_VERIFIED_BY_VIN,95430-K0120,"95430-K0120, 95440-K0320, 95440-K0510",,unknown,149,
KNDJ33AU2RY773971,2024,KIA,Soul,EX,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,148,
5NMP24GL7RL398351,2024,HYUNDAI,Santa Fe,SEL,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,83,
5XYK33AFXS8003306,2025,KIA,Sportage,EX,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,87,
5XYK33AF7SP053232,2025,KIA,Sportage,EX,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,128,
5XYK6CDFXSH536579,2025,KIA,Sportage,X-LINE,DEALER_VERIFIED_BY_VIN,95440-P1100,"95440-P1100, 95440-P1110, 95440-P1400, 95440-P1410",,unknown,155,
KMHLM4DG8R9341814,2024,HYUNDAI,Elantra,SEL,DEALER_VERIFIED_BY_VIN,95440-AA000,"95440-AA000, 95440-AA100, 95440-IB000, 95440-IB100",,unknown,179,
KMHL14JA3RJ254507,2024,HYUNDAI,Sonata,SEL w/ Convenience Pkg,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,185,
KMHLM4DG0R8098716,2024,HYUNDAI,Elantra,SEL,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,292,
KMHLS4DG6R5629506,2024,HYUNDAI,Elantra,SEL w/ Convenience Pkg,DEALER_VERIFIED_BY_VIN,95440-AA000,"95440-AA000, 95440-AA100, 95440-IB000, 95440-IB100",,unknown,206,
KNDJ33AU4R0797638,2024,KIA,Soul,EX,DEALER_VERIFIED_BY_VIN,95430-K0120,"95430-K0120, 95440-K0320, 95440-K0510",,unknown,211,
5XYK6CDFXR7898637,2024,KIA,Sportage,X-LINE,DEALER_VERIFIED_BY_VIN,95440-P1100,"95440-P1100, 95440-P1400",,unknown,236,
5XYK6CDF0R1357762,2024,KIA,Sportage,X-LINE,DEALER_VERIFIED_BY_VIN,95440-P1100,"95440-P1100, 95440-P1400",,unknown,245,
KMHLS4DG8SM199473,2025,HYUNDAI,Elantra,SEL Convenience,DEALER_VERIFIED_BY_VIN,95440-AA500,"95440-AA500, 95440-AA501",,unknown,314,
5XYRH4LF3R1003525,2024,KIA,Sorento,EX/X-Line EX,DEALER_VERIFIED_BY_VIN,95440-P2AA0,"95440-P2AA0, 95440-P2AB0, 95440-P2AK0",,unknown,269,
5NMJB3AE6RG506056,2024,HYUNDAI,Tucson,SEL,DEALER_VERIFIED_BY_VIN,95440-N9002,"95440-N9002, 95440-N9052, 95440-N9072, 95440-N9082",,unknown,299,
KM8R5DHC3SU081016,2025,HYUNDAI,Palisade,Limited,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,320,
5NMP34GL7SN375837,2025,HYUNDAI,Santa Fe,XRT,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,326,
KMTG54TE9SJ003881,2025,GENESIS,G70,3.3T Sport Advanced (AWD/RWD); 3.3T Sport Prestige (AWD/RWD),NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,316,
KNDC34LD0RP458006,2024,KIA,EV6,"Light, Wind",NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,336,
KNDPUCDF1T7441411,2026,KIA,Sportage,LX,DEALER_VERIFIED_BY_VIN,95440-P1AB0,"95440-P1AB0, 95440-P1AL0",,unknown,421,
KMHLM4DG9RU789816,2024,HYUNDAI,Elantra,SEL,DEALER_VERIFIED_BY_VIN,95440-AA500,"95440-AA500, 95440-AA501, 95440-IB500YPN, 95440-IB501, 95440-IB600YPN, 95446-IB500, 95446-N1900, 95413-CU000, 954133A000-AS, 81900-AAFD0, 81905-AA570, 81905-AA610, 81970-AAA00, 81996-AA540, 81996-J3001, 95425-AA500, 95430-AA600",,unknown,538,
